date,max,min
2023-01-25,6.8,-2.6
2023-01-26,7.6,-3.0
2023-01-27,7.5,-0.8
2023-01-28,7.7,-1.4
2023-01-29,6.7,-0.9
2023-01-30,8.4,-2.8
2023-01-31,9.9,-4.0
2023-02-01,10.3,-1.4
2023-02-02,11.4,-1.5
2023-02-03,14.1,-2.9
2023-02-04,16.4,-2.8
2023-02-05,12.8,-1.7
2023-02-06,10.7,-1.1
2023-02-07,9.8,-1.3
2023-02-08,11.5,1.9
2023-02-09,10.7,-1.0
2023-02-10,11.7,-2.2
2023-02-11,13.0,-3.6
2023-02-12,13.5,1.7
2023-02-13,17.2,3.6
2023-02-14,17.3,1.2
2023-02-15,15.4,0.9
2023-02-16,15.7,-0.5
2023-02-17,17.2,-0.9
2023-02-18,18.2,4.3
2023-02-19,17.0,6.3
2023-02-20,17.9,6.2
2023-02-21,15.0,5.8
2023-02-22,12.4,6.0
2023-02-23,7.6,-0.8
2023-02-24,9.6,-3.6
2023-02-25,7.3,-1.2
2023-02-26,10.2,0.2
2023-02-27,7.4,-3.1
2023-02-28,6.6,-3.9
2023-03-01,8.3,-1.8
2023-03-02,9.8,-3.2
2023-03-03,12.9,-3.3
2023-03-04,13.2,-1.4
2023-03-05,9.4,-0.6
2023-03-06,13.6,6.1
2023-03-07,12.7,6.8
2023-03-08,17.5,10.4
2023-03-09,15.9,9.7
2023-03-10,17.6,8.3
2023-03-11,16.7,10.5
2023-03-12,23.2,8.0
2023-03-13,18.4,7.0
2023-03-14,14.6,5.5
2023-03-15,21.9,3.0
2023-03-16,21.5,5.0
2023-03-17,14.0,6.6
2023-03-18,14.6,5.7
2023-03-19,17.7,2.5
2023-03-20,20.5,1.8
2023-03-21,20.3,6.0
2023-03-22,20.6,5.3
2023-03-23,18.4,4.9
2023-03-24,18.2,8.3
2023-03-25,20.0,2.8
2023-03-26,17.9,7.2
2023-03-27,20.1,2.4
2023-03-28,25.7,3.8
2023-03-29,24.6,6.5
2023-03-30,20.4,9.0
2023-03-31,19.1,8.4
2023-04-01,15.7,7.6
2023-04-02,17.9,1.6
2023-04-03,18.1,2.2
2023-04-04,19.7,3.7
2023-04-05,21.1,1.2
2023-04-06,22.8,1.8
2023-04-07,24.7,3.1
2023-04-08,26.1,5.0
2023-04-09,25.9,6.7
2023-04-10,23.7,10.1
2023-04-11,23.4,8.1
2023-04-12,14.4,5.5
2023-04-13,14.3,2.4
2023-04-14,18.2,6.2
2023-04-15,23.2,6.8
2023-04-16,23.2,6.5
2023-04-17,23.4,6.0
2023-04-18,23.1,4.9
2023-04-19,26.5,6.6
2023-04-20,26.2,8.2
2023-04-21,21.8,7.8
2023-04-22,18.9,7.3
2023-04-23,20.9,7.9
2023-04-24,23.5,8.5
2023-04-25,25.4,10.3
2023-04-26,26.4,10.7
2023-04-27,30.3,12.7
2023-04-28,30.2,13.5
2023-04-29,25.0,13.9
2023-04-30,23.3,11.9
2023-05-01,26.5,9.7
2023-05-02,29.2,9.7
2023-05-03,28.3,13.4
